név;gyártó;magszám;core clock;boost clock;ár($)
AMD Ryzen 7 3700X;AMD;8;3.6;4.4;309
AMD Ryzen 5 3600;AMD;6;3.6;4.2;220
AMD Ryzen 5 5600X;AMD;6;3.7;4.6;300
Intel Core i7-10700K;Intel;8;3.8;5.1;318
AMD Ryzen 9 5950X;AMD;16;3.4;4.9;1031
Intel Core i5-10400F;Intel;6;2.9;4.3;182
AMD Ryzen 5 2600;AMD;6;3.4;3.9;189
AMD Ryzen 9 5900X;AMD;12;3.7;4.8;550
Intel Core i9-10900K;Intel;10;3.7;5.3;464
AMD Ryzen 5 3600X;AMD;6;3.8;4.4;290
AMD Ryzen 3 3200G;AMD;4;3.6;4.0;174
AMD Ryzen 9 3900X;AMD;12;3.8;4.6;500
Intel Core i5-10600K;Intel;6;4.1;4.8;215
Intel Core i9-10850K;Intel;10;3.6;5.2;394
Intel Core i9-7980Xe;Intel;18;2.6;4.4;1090
Intel Core i7-11700KF;Intel;8;3.6;5.0;500
Intel Core i3-9100F;Intel;4;3.6;4.2;184
AMD Ryzen 3 2200G;AMD;4;3.5;3.7;235
Intel core i3 10100F;Intel;4;3.6;4.3;150
